name,contact
Mattias Skantze,https://open.spotify.com/artist/2DeQr2X1D6TthX9en6Lq6J?si=PezlAGRXTwKSXeR5XNFEMg
Monsieur Periné,http://www.mperine.com/
Moosmusic,https://moosmusic.wordpress.com
Nzca Lines,http://www.nzca-lines.com/
Plan Caliente,https://www.youtube.com/channel/UCkSR6wvVaxqrLDJMOy6FWcw
Raft Monk,
Random Somebody,
Remember December,
Remember Jones,https://www.rememberjones.com/
Ricardo Santiago,https://www.instagram.com/ricardosantiagomusic/
Ronnie Jones,
Rubblebucket,http://rubblebucket.com/
Sambasevam Shanmugam,https://www.facebook.com/sambasevam.shanmugam
Signe Jakobsen,
Silona,https://www.silonamusic.com/
Starnes & Shah,https://www.facebook.com/starnesandshah/
Strobe,https://open.spotify.com/artist/6s8sYE8aRskwXVwdQ3X87F?si=3Pp0_XAAT9GWLua9RNi49g
St Vitus,http://www.stvitus.co.uk
Tall Heights,http://www.tallheights.com/
Ted Behrman,https://discussion.cambridge-mt.com/member.php?action=profile&uid=10592
Timo And The Timezone,https://soundcloud.com/the_timezone
Trick Bird,https://www.facebook.com/trickbirdband
Triviul,http://www.triviul.com
Turn Back To Spring,https://www.reverbnation.com/turnbacktospring
The Wrong'uns,https://www.myspace.com/wronguns
Alan Mansfield & John Pritchard,
Arise,
Avalon,
Banned From The Zoo,
Big Head Todd & The Monsters,http://www.bigheadtodd.com
Big Mean Sound Machine,http://www.bigmeansoundmachine.com
Big Stone Culture,https://www.facebook.com/pages/BIG-STONE-CULTURE/51253063268
Black Bloc,
Blues Bastards,https://bluesbastards.bandcamp.com/track/sugar
Bobby Nobody,https://www.myspace.com/bobbynobodymusic
Boogiesnakes,https://boogiesnakes.bandcamp.com/releases
Bosnian Rainbows,https://bosnianrainbows.bandcamp.com/
Bronze Radio Return,http://www.bronzeradioreturn.com
Buitraker,
The Butterfly Effect,https://soundcloud.com/marc-r-gosselin
CEF Mallorca GSSII 2017-18 Sessions,
Colton Benjamin,http://www.coltonbenjamin.com/
Cotton Drifting,
Detsky Sad,http://timtaler.su/alboms
Diesel13,https://www.reverbnation.com/diesel13
The Doppler Shift,https://www.facebook.com/thedopplershift
Dunning Kruger,https://www.facebook.com/dunningkrugerband
Eager Sails,https://eagersails.bandcamp.com/
Enter The Haggis,https://www.enterthehaggis.com
Evening Darling,https://www.eveningdarling.com/
Fergessen,http://www.fergessen.fr
Flags,
Fruition,https://www.fruitionband.com/
Ghost Note,https://www.facebook.com/TheGhostNoteBand/
The Great Enough,http://www.thegreatenough.com/
Hannes Keseberg,http://de.hanneskeseberg.com/
Hazael,https://hazaelmusic.bandcamp.com/releases
Hollowstate,https://open.spotify.com/artist/4RYEKUQyKQUvjAvN2YecMX
How To Kill A Conversation,https://www.myspace.com/howtokillaconversation
Hurray For The Riff Raff,http://www.hurrayfortheriffraff.com/
Ikebe Shakedown,https://ikebeshakedown.com/
Jackie Greene,http://www.jackiegreene.com
James Timms x Benjamin Coosemans,https://www.instagram.com/benjamincoosemans/
Jamie Kent,http://jamiekent.com/
"Jokers, Jacks & Kings",https://www.facebook.com/pages/Jokers-Jacks-Kings/173806715976860
Kung Fu,https://www.kungfumusic.com/
Leftover Salmon,http://www.leftoversalmon.com
Lingua Funqa,http://www.linguafunqa.com/
Malenky Slovos,http://www.malenkyslovos.com
Man About A Dog,https://www.myspace.com/manaboutadogphx
Marcus Boeltz,https://www.wavepowerblog.com/
McLovins,https://www.facebook.com/McLovinsBand
Motor Tapes,http://www.motortapes.co.uk
The Mountaineering Club,https://themountaineeringclub.bandcamp.com/
Neon Hornet,
Nerve 9,https://nerve9.bandcamp.com
One Time Weekend,https://www.facebook.com/onetimeweekend/
The Penniless Wild,https://www.facebook.com/ThePennilessWild/
Perdidos Na Zona Sul,https://www.facebook.com/perdidosnazonasul/
Peter White,http://www.peterwhitearchive.com/
Phre The Eon,https://www.myspace.com/phretheeonmusic
Plywood Cowboy,https://www.plywoodcowboy.com/
Purple Hat Mob,https://www.facebook.com/PurpleHatMob
Qupe,https://www.cdbaby.com/cd/qupe12
Ripe,http://www.ripetheband.com/
Salon 8,
Secretariat,http://www.midside.com/music/acremaker
Six Fox Whiskey,https://www.sixfoxwhiskey.com/
Skyeez & The Whiteflies,http://www.skyeez.com/
Spike Mullings,https://www.reverbnation.com/spikemullings
The Sunshine Garcia Band,https://www.facebook.com/sunshinegband/
Swinging Steaks,http://www.swingingsteaks.com
Szlachetka,https://szlachetkamusic.com/
thelvnguage,https://thelvnguage.com/
The Timezone,https://soundcloud.com/the_timezone
Tommy Marcinek,http://tommymarcinek.com
Traffic Experiment,http://www.trafficexperiment.net
The Travelling Band,http://www.thetravellingband.co.uk
Turkuaz,http://www.turkuazband.com/
Wesley Morgan,http://www.thewesleymorgan.com
Wess Meets West,https://www.facebook.com/wessmeetswest
The Western Den,http://www.thewesternden.com/
Wide Waters,https://store.cdbaby.com/Artist/WideWaters
W.I.N.D.,http://www.artesuono.it/album.aspx?id=97&p=0
Woodfire,https://woodfire.bandcamp.com
Zeno,
Ale Lak,
All Hands Lost,https://www.reverbnation.com/allhandslost
Angels In Amplifiers,
The Apprehended,https://theapprehended.bandcamp.com
Bill Chudziak,
The Black Crown,https://www.facebook.com/theblackcrownmusic
The Brew,
Candlebox,http://www.candleboxrocks.com/
Cnoc An Tursa,https://www.facebook.com/pages/Cnoc-An-Tursa/120452294662169
The Complainiacs,https://www.myspace.com/thecomplainiacs
Dark Ride,http://www.darkridemetal.com
Death Of A Romantic,https://deathofaromantic.bandcamp.com
Decypher,https://decypherband.bandcamp.com/
Dry Clean Only,
Forkupines,https://forkupines.bandcamp.com/
Fytakyte,https://fytakyte.bandcamp.com/releases
G-Bass Project,https://gbassproject.com/
Geometría Chicken,https://open.spotify.com/album/5AbHLcWopZN3dGNzxHgLZu?si=RiRzBTKhT1qD46O3ax1pwQ
Headwound Harry,https://www.facebook.com/headwoundharryband
Hollow Ground,https://www.myspace.com/blackmail204
I Am Cassettes,https://www.facebook.com/iamcassettesofficial
Imp Act,https://impactrocksg.wixsite.com/home
impossible c o l o u r s,http://www.impossiblecolours.com
Jet B,http://www.jetb.nl/
John McKay,http://www.suitcaserecordings.com
Johnny Lokke,http://www.johnnylokkeband.com/
Juanita Dientes Verdes,https://juanitadientesverdes.bandcamp.com/
Last Legacy,https://lastlegacyband.bandcamp.com
Lead Inc,https://leadinc.jimdo.com/
Louis Cressy Band,
Magician's Nephew,https://www.magiciansnephewband.com/
The Maybe Next Years,https://open.spotify.com/artist/7eXkD58AqhIdEnCRQnBndE
Mistrusted,https://www.facebook.com/mistrustedrock/
North To Alaska,https://www.myspace.com/northtoalaskanoise
Nova-One Studio,
Pablo Martin,https://soundcloud.com/pmartinchile
Painted Skies,https://www.facebook.com/Painted1Skies
Perpetual Escape,https://perpetualescape.bandcamp.com/
Rebuild The Evil,https://www.facebook.com/RebuildTheEvil/
Robert Hammon,https://soundcloud.com/robert-hammon/the-elephant
Ruby Roads,https://www.reverbnation.com/rubyroads
Scott Elliott,
Silence Is Near,https://silenceisnear.bandcamp.com/releases
Storm Of Particles,https://stormofparticles.bandcamp.com/
Street Noise,
Szymon Skiba,https://www.youtube.com/channel/UCAbK264uNpImwXSt44yufww
Tholas P.,https://open.spotify.com/artist/1u488fHtXAHWEjZ07eAUt5?si=dyRS2wwmQe60gHYRBCR9oQ
Timboz,https://soundcloud.com/timboz
Titanium,
Trafficker,https://tommyallenmusic.com/tommy-allens-trafficker/
Turbosauro,https://turbosauro1.bandcamp.com/releases
Unicorn Rodeo,https://www.unicornrodeo.de/
V.M.GY,https://soundcloud.com/js32shred
Voelund,http://www.voelundsmusik.dk
Wall Of Death,https://wallofdeathproject.bandcamp.com/
We Fell From The Sky,https://www.reverbnation.com/wefellfromthesky
Wires,
Young Griffo,https://www.facebook.com/younggriffo
Zane Carney & Friends,http://www.zanecarney.com
Admiral Crumple,https://www.facebook.com/admiralcrumple
Allen Stone,https://www.allenstone.com/
Egda Carolyn,https://soundcloud.com/egdacarolyn
Jessica Childress,http://www.jessicachildressmusic.com
Justin Myles,http://www.justinmyles.net/
Kangoro,
Killa-L,https://www.facebook.com/ChillCheney/
Little Chicago's Finest,https://www.reverbnation.com/jspurgeon
M.E.R.C. Music,https://www.youtube.com/watch?v=rbbboCm2zSw
Pepelpovetru,https://fenixprod.bandcamp.com/
Ryan Cali,http://www.ryanouttacontrol.com/
Side Effects Project,https://www.myspace.com/sideeffectsproject
Sound On Sound Demo,
Stefano Petrocca,http://stephanobass.com
West End Blend,http://www.westendblend.com/
