title,file_zip,file_size,number_channels,preview,genre,artist
Trude The Bumblebee,https://multitracks.cambridge-mt.com/DonCamilloChoir_TrudeTheBumblebee_Full.zip,331 MB,20,https://previews.cambridge-mt.com/TrudeTheBumblebee_Full_Preview.mp3,0,20
The Woodworm Song,https://multitracks.cambridge-mt.com/DonCamilloChoir_WoodwormSong_Full.zip,211 MB,11,https://previews.cambridge-mt.com/WoodwormSong_Full_Preview.mp3,0,20
Africa,https://multitracks.cambridge-mt.com/EddieGarrido_Africa_Full.zip,201 MB,15,https://previews.cambridge-mt.com/Africa_Full_Preview.mp3,0,21
Scarlett,https://multitracks.cambridge-mt.com/EddieGarrido_Scarlett_Full.zip,228 MB,23,https://previews.cambridge-mt.com/Scarlett_Full_Preview.mp3,0,21
Una Semana Sin Ti,https://multitracks.cambridge-mt.com/EddieGarrido_UnaSemanaSinTi_Full.zip,107 MB,10,https://previews.cambridge-mt.com/UnaSemanaSinTi_Full_Preview.mp3,0,21
An Nasc Nua,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/EndaReilly_AnNascNua_Full.zip,184 MB,19,https://previews.cambridge-mt.com/AnNascNua_Full_Preview.mp3,0,22
Cur An Long Ag Seol,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/EndaReilly_CurAnLongAgSeol_Full.zip,210 MB,12,https://previews.cambridge-mt.com/CurAnLongAgSeol_Full_Preview.mp3,0,22
Cello Concerto in A Minor,https://multitracks.cambridge-mt.com/EthanWiner_CelloConcerto_Full.zip,1163 MB,20,https://previews.cambridge-mt.com/CelloConcerto_Full_Preview.mp3,0,23
Sleigh Ride,https://mtkdata.cambridgemusictechnology.co.uk/MTK007/FunnyValentines_SleighRide_Full.zip,219 MB,7,https://previews.cambridge-mt.com/SleighRide_Full_Preview.mp3,0,24
A Reason To Leave,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_AReasonToLeave_Full.zip,786 MB,38,https://previews.cambridge-mt.com/AReasonToLeave_Full_Preview.mp3,0,25
Blue,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_Blue_Full.zip,566 MB,23,https://previews.cambridge-mt.com/Blue_Full_Preview.mp3,0,25
Fool,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_Fool_Full.zip,321 MB,26,https://previews.cambridge-mt.com/Fool_Full_Preview.mp3,0,25
Set Me Free,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_SetMeFree_Full.zip,427 MB,23,https://previews.cambridge-mt.com/SetMeFree_Full_Preview.mp3,0,25
Upper Hand,https://mtkdata.cambridgemusictechnology.co.uk/MTK009/PatrickTalbot_UpperHand_Full.zip,533 MB,31,https://previews.cambridge-mt.com/UpperHand_Full_Preview.mp3,0,25
A Sailor Once More,https://multitracks.cambridge-mt.com/GlenMcPhee_ASailorOnceMore_Full.zip,341 MB,19,https://previews.cambridge-mt.com/ASailorOnceMore_Full_Preview.mp3,0,26
Paraisso,https://multitracks.cambridge-mt.com/JadeSafirah_Paraisso_Full.zip,321 MB,25,https://previews.cambridge-mt.com/Paraisso_Full_Preview.mp3,0,27
Hold On You,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_HoldOnYou_Full.zip,212 MB,9,https://previews.cambridge-mt.com/HoldOnYou_Full_Preview.mp3,0,28
Eliza Jane,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_ElizaJane_Full.zip,554 MB,16,https://previews.cambridge-mt.com/ElizaJane_Full_Preview.mp3,0,28
If You Say,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/JamesMay_IfYouSay_Full.zip,348 MB,16,https://previews.cambridge-mt.com/IfYouSay_Full_Preview.mp3,0,28
On The Line,https://mtkdata.cambridgemusictechnology.co.uk/MTK004/MR1210_JamesMay_Full.zip,434 MB,14,https://previews.cambridge-mt.com/1210_RemixLoud.mp3,0,28
